,mask_criterion,seed,iteration,test_accuracy
318,large_final_same_sign,4,18,0.9753000140190125
319,large_final_same_sign,4,19,0.9768000245094299
320,large_final_same_sign,4,20,0.9726999998092651
321,large_final_same_sign,4,21,0.9677000045776367
322,large_final_same_sign,4,22,0.9645000100135803
323,large_final_same_sign,4,23,0.9581000208854675
324,large_final_same_sign,4,24,0.9483000040054321
325,large_final_diff_sign,4,0,0.9782000184059143
326,large_final_diff_sign,4,1,0.9781000018119812
327,large_final_diff_sign,4,2,0.9787999987602234
328,large_final_diff_sign,4,3,0.9799000024795532
329,large_final_diff_sign,4,4,0.9787999987602234
330,large_final_diff_sign,4,5,0.9789000153541565
331,large_final_diff_sign,4,6,0.9775999784469604
332,large_final_diff_sign,4,7,0.9749000072479248
333,large_final_diff_sign,4,8,0.9747999906539917
334,large_final_diff_sign,4,9,0.9721999764442444
335,large_final_diff_sign,4,10,0.9732000231742859
336,large_final_diff_sign,4,11,0.968500018119812
337,large_final_diff_sign,4,12,0.9690999984741211
338,large_final_diff_sign,4,13,0.9674000144004822
339,large_final_diff_sign,4,14,0.9631999731063843
340,large_final_diff_sign,4,15,0.9577999711036682
341,large_final_diff_sign,4,16,0.9509999752044678
342,large_final_diff_sign,4,17,0.9491999745368958
343,large_final_diff_sign,4,18,0.9326000213623047
344,large_final_diff_sign,4,19,0.9027000069618225
345,large_final_diff_sign,4,20,0.8648999929428101
346,large_final_diff_sign,4,21,0.6898000240325928
347,large_final_diff_sign,4,22,0.6930000185966492
348,large_final_diff_sign,4,23,0.4733000099658966
349,large_final_diff_sign,4,24,0.384799987077713
350,large_final,4,0,0.9782000184059143
351,large_final,4,1,0.9810000061988831
352,large_final,4,2,0.9803000092506409
353,large_final,4,3,0.9807999730110168
354,large_final,4,4,0.9810000061988831
355,large_final,4,5,0.9811999797821045
356,large_final,4,6,0.9840999841690063
357,large_final,4,7,0.9825999736785889
358,large_final,4,8,0.9842000007629395
359,large_final,4,9,0.9836999773979187
360,large_final,4,10,0.9836999773979187
361,large_final,4,11,0.983299970626831
362,large_final,4,12,0.9828000068664551
363,large_final,4,13,0.9819999933242798
364,large_final,4,14,0.982200026512146
365,large_final,4,15,0.9803000092506409
366,large_final,4,16,0.9779999852180481
367,large_final,4,17,0.977400004863739
368,large_final,4,18,0.9749000072479248
369,large_final,4,19,0.9743000268936157
370,large_final,4,20,0.9695000052452087
371,large_final,4,21,0.9672999978065491
372,large_final,4,22,0.958299994468689
373,large_final,4,23,0.9513000249862671
374,large_final,4,24,0.930400013923645
